cluster_shop;1;2;3
is_chain_mean;0.8864711013175411;0.40800909212461556;0.09730649016363302
product_score_mean;0.01623382111950564;-0.07521811322793032;-0.1247315528369761
vendor_score_mean;0.029307043226232676;-0.1323076792439897;-0.23629918686581294
daytime_orders_mean;0.10223297464534303;0.034887422055976766;0.020118848364801916
evening_orders_mean;0.08363357770123354;0.026006801007700534;0.015637013280921343
chain_vendor_interaction_mean;0.031157341558833183;-0.052545162190511356;-0.021892620339019404
CLV_Score_mean;0.16676727375653713;-0.431098461639855;0.21290793468880437
value_retention_mean;0.6355225841249048;-0.05481003478155479;-0.28047185717659057
value_growth_mean;0.7765892772516179;-0.07931183082515336;-0.33424690879313085
growth_momentum_mean;0.744609520521755;-0.09241892729368792;-0.3092256057319227
spend_consistency_mean;0.766027892073939;-0.08767695704989757;-0.32320835001705006
avg_order_value_mean;0.7655839519711604;-0.07959001844976228;-0.32854615356326267
active_spend_rate_mean;0.8724927340132509;-0.1298197793216721;-0.34753219127651014
Beverages_Cafe_mean;0.17112929050646308;0.09212165224473412;0.03888016055291921
Desserts_Snacks_mean;0.09994571421620636;0.07945199074611595;0.07877584409942133
General_Asian_mean;0.1992150790977589;0.15759670732241762;0.1415112122879582
Main_Dishes_mean;0.27326749887937296;0.12178297158170803;0.0644689945162084
Other_Asian_mean;0.28073769570335905;0.14489703908171525;0.10252733313084661
Western_mean;0.27864278688672345;0.18470740521773502;0.1488238196178791
last_promo_mean;0.7767525134279025;0.8657240272763739;0.9598041919470491
payment_method_mean;1.0417297892852224;1.022563176895307;0.9968284611141754
customer_region_0_mean;0.1181655419363724;0.10489370236662655;0.12624103695532268
customer_region_1_mean;0.45999173667538906;0.33002406738868834;0.15154440154440155
customer_region_2_mean;0.2503787357113345;0.2600280786201364;0.3543160507446222
customer_region_3_mean;0.17146398567690402;0.30505415162454874;0.3678985107556536
DOW_0_mean;1.3339760363586284;0.4425391095066185;0.24965526751241038
DOW_1_mean;1.3524307946563834;0.46079021259526676;0.25344732487589633
DOW_2_mean;1.3879630904834044;0.48355395106297633;0.2713734142305571
DOW_3_mean;1.441536978377634;0.4996991576413959;0.2959873138444567
DOW_4_mean;1.4878115961988707;0.5706979542719615;0.35252344180915607
DOW_5_mean;1.4318964329982096;0.531688728439631;0.352592388306674
DOW_6_mean;1.56686406831015;0.5795226634576816;0.3652095973524545
is_chain_std;0.1403311216437331;0.09515404088233566;0.08215631867424934
product_score_std;0.04382540399129175;0.05125435793080213;0.059568438561760625
vendor_score_std;0.10306641799378809;0.10069665267306802;0.0933931010539289
daytime_orders_std;0.10055008389318454;0.03640802567846606;0.027614161545350225
evening_orders_std;0.09002892482031119;0.03324942131528184;0.02681243591131718
chain_vendor_interaction_std;0.09555874147795441;0.043757473428397725;0.02224228039841052
CLV_Score_std;1.02447446588394;0.8818807494405784;0.9701481992527005
value_retention_std;1.0629014789499647;0.9861692558223282;0.8192634649212882
value_growth_std;1.133286895330908;0.9298031781009971;0.7300759774646937
growth_momentum_std;1.2789335054437185;0.8988420399152088;0.6595253179316798
spend_consistency_std;1.1326729494890648;0.9294634429526744;0.7406725030168128
avg_order_value_std;1.1289960986093084;0.9324196607525621;0.7394360656741062
active_spend_rate_std;1.3100634610907376;0.8053842084608565;0.6080465355319558
Beverages_Cafe_std;0.2312907856489975;0.1782612844038508;0.12691692051869274
Desserts_Snacks_std;0.2017742626075906;0.1854488581742328;0.18751129558591942
General_Asian_std;0.2390708505621371;0.2215061415246095;0.21066965128014253
Main_Dishes_std;0.2415765962994171;0.18624118358327796;0.1539086476998811
Other_Asian_std;0.2076627851179585;0.1822546678503943;0.1711366116374988
Western_std;0.23839391946190966;0.21583782789684267;0.213575660838983
last_promo_std;1.1107486260309143;1.11378541438883;1.0709365906842006
payment_method_std;0.5201657758966168;0.5703821546530539;0.664910042819698
customer_region_0_std;0.3228262684313927;0.3064317705124438;0.33213226756668485
customer_region_1_std;0.4984310921789652;0.4702449972716489;0.35859107848208455
customer_region_2_std;0.4332609801553545;0.4386716018380378;0.47832202681221936
customer_region_3_std;0.3769398564078833;0.4604534476692263;0.48225017480303134
DOW_0_std;1.5547451631346805;0.7118123726452757;0.5394841180108902
DOW_1_std;1.617105941136428;0.7335717190341238;0.5470566900391045
DOW_2_std;1.5804464608829367;0.7535762260514868;0.5761272891937058
DOW_3_std;1.6001219154361785;0.7694262527016471;0.6073810215007577
DOW_4_std;1.6092951131452993;0.8007341645705703;0.6473974567519417
DOW_5_std;1.6189125344598074;0.7683819542267317;0.6238741511759639
DOW_6_std;1.7759018775336288;0.8307800066830937;0.6632815460658077
is_chain_count;7 261;9 972;8 468
product_score_count;7 261;9 972;14 504
vendor_score_count;7 261;9 972;14 504
daytime_orders_count;6 734;7 679;8 548
evening_orders_count;5 895;5 837;6 433
chain_vendor_interaction_count;7 261;9 972;8 468
CLV_Score_count;7 261;9 972;14 504
value_retention_count;7 261;9 972;14 504
value_growth_count;7 261;9 972;14 504
growth_momentum_count;7 261;9 972;14 504
spend_consistency_count;7 261;9 972;14 504
avg_order_value_count;7 261;9 972;14 504
active_spend_rate_count;7 261;9 972;14 504
Beverages_Cafe_count;2 976;2 337;1 353
Desserts_Snacks_count;1 706;1 735;2 335
General_Asian_count;3 424;3 676;4 796
Main_Dishes_count;4 571;3 346;2 372
Other_Asian_count;5 204;4 277;4 146
Western_count;4 868;4 731;5 149
last_promo_count;2 772;4 452;7 820
payment_method_count;6 424;8 460;11 275
customer_region_0_count;858;1 046;1 831
customer_region_1_count;3 340;3 291;2 198
customer_region_2_count;1 818;2 593;5 139
customer_region_3_count;1 245;3 042;5 336
DOW_0_count;4 753;3 433;3 057
DOW_1_count;4 725;3 536;3 057
DOW_2_count;4 861;3 664;3 246
DOW_3_count;5 010;3 746;3 500
DOW_4_count;5 121;4 261;4 102
DOW_5_count;4 907;3 964;4 220
DOW_6_count;4 991;4 156;4 221
counts;7 261;9 972;14 504
