cluster_val;1;2;3;4
is_chain_mean;0.15568604423566254;0.37656969696969694;0.46556860742253997;0.6461483081353492
product_score_mean;-0.15448192536655395;-0.08633284700659596;-0.02626874642915715;0.02952681057339606
vendor_score_mean;-0.27742207396848484;-0.1447684788727884;-0.07873082107710004;0.0229064609113161
daytime_orders_mean;0.01374807521161825;0.03189019256605464;0.05350832171831785;0.11103692985349349
evening_orders_mean;0.012322094988017738;0.029925011865211196;0.04147782114484865;0.07461910878169138
chain_vendor_interaction_mean;-0.03249403686390527;-0.037775366027331135;-0.007154975583571735;0.037588089534736205
CLV_Score_mean;0.9828810129874614;-0.7874039927661027;-0.04898624138551488;0.4768544269638868
value_retention_mean;-0.6553983692509799;-0.5293441915064407;0.8467275667828283;1.7176772130784914
value_growth_mean;-0.6787179404555367;-0.5314617614476973;0.6881438628004574;1.8704303664791464
growth_momentum_mean;-0.5592129133380254;-0.5202150854739406;0.2295080117443684;1.9827037452032077
spend_consistency_mean;-0.6641476232228879;-0.5425326314681008;0.7141409381342599;1.8571750865182712
avg_order_value_mean;-0.6793904050277254;-0.5323533709347232;0.7207864284625649;1.8506602763326365
active_spend_rate_mean;-0.45574967011913076;-0.36973019519513234;0.005137925059576397;1.6098593431360984
Beverages_Cafe_mean;0.03995306279607073;0.07209013067250593;0.11074638305998298;0.1727865875977439
Desserts_Snacks_mean;0.04695944851953072;0.046991591704105676;0.12579156191705274;0.2019388191000205
General_Asian_mean;0.08765789741889457;0.10967314804373926;0.2313082785876545;0.34382967543195914
Main_Dishes_mean;0.06932164605403246;0.13136778708713098;0.14856633799201424;0.20793857636143642
Other_Asian_mean;0.08887083641525763;0.14542943050910323;0.18829162046094486;0.2657786707439894
Western_mean;0.10568974968259971;0.1754736973270339;0.22750540001357256;0.32758198288449764
last_promo_mean;1.0832648267762772;0.8760727272727272;0.7801327885597549;0.6963642908567315
payment_method_mean;0.9611274221961245;1.0390545454545455;1.036261491317671;1.0241180705543556
customer_region_0_mean;0.13446858485026425;0.1282909090909091;0.09627170582226761;0.08081353491720662
customer_region_1_mean;0.2709336465061656;0.3730181818181818;0.16521961184882533;0.13426925845932325
customer_region_2_mean;0.3045214327657076;0.2818181818181818;0.3192032686414709;0.32973362131029516
customer_region_3_mean;0.2900763358778626;0.21687272727272727;0.4193054136874362;0.45518358531317493
DOW_0_mean;0.15842630651790957;0.4117818181818182;0.6976506639427987;1.4357451403887689
DOW_1_mean;0.15936582501467997;0.4168;0.686414708886619;1.4965802735781137
DOW_2_mean;0.16770405167351732;0.432;0.7382533197139939;1.5437365010799136
DOW_3_mean;0.22971227246036408;0.4334545454545455;0.7780898876404494;1.580273578113751
DOW_4_mean;0.2813857897827364;0.5004363636363637;0.8378447395301328;1.6286897048236142
DOW_5_mean;0.2401644157369348;0.5316363636363637;0.797752808988764;1.5
DOW_6_mean;0.22595419847328244;0.5882909090909091;0.8335035750766088;1.6515478761699065
is_chain_std;0.1813840897294994;0.2762680699739423;0.3537376701686715;0.35253565978788565
product_score_std;0.044624478964542545;0.0458307583572739;0.04786725525113223;0.03685302263786305
vendor_score_std;0.07897556625148969;0.09791466091240308;0.12726212344709842;0.11724653703255401
daytime_orders_std;0.01904611770675946;0.03020936965037329;0.05049040433059843;0.11277659576456091
evening_orders_std;0.019775266460527994;0.03196754572281649;0.05428175015544226;0.10494298321569259
chain_vendor_interaction_std;0.031764162890081465;0.04988750374497748;0.06871525523677122;0.08065663942658512
CLV_Score_std;0.5904656137849549;0.42011374153276726;0.8403157007880425;0.9998788045144825
value_retention_std;0.2505105935927974;0.3531884365142573;0.49964974399092205;0.5691994364522919
value_growth_std;0.12093553023208675;0.30240890106495566;0.33504373766370354;0.38357796703735747
growth_momentum_std;0.033982725500359495;0.09787537921680134;0.3595573472423004;0.6917152010494565
spend_consistency_std;0.18049150227193278;0.30185974652629977;0.3322477074232637;0.38214554040944915
avg_order_value_std;0.13947365080139756;0.3142452372958149;0.3621146170686727;0.38180781851265955
active_spend_rate_std;0.16561524293304106;0.21125592103305868;1.0055874837505299;1.2645865604444446
Beverages_Cafe_std;0.12318445092254872;0.15176191661140165;0.20121032537742523;0.25269642701593864
Desserts_Snacks_std;0.141495820750434;0.1286867208764431;0.22649936150912348;0.28055557839507655
General_Asian_std;0.16847774756528866;0.17438349680871446;0.23692529987546215;0.26747879178345263
Main_Dishes_std;0.1496928676482331;0.1828321446717069;0.22344155194857823;0.27258975793906937
Other_Asian_std;0.15339577087291412;0.17131474180867673;0.21351269548505972;0.24426646294344123
Western_std;0.17557281512860853;0.19938367968283144;0.24004156465811616;0.27229237184912514
last_promo_std;1.0252832238928442;1.1141427765987726;1.0995987113093304;1.1066257012223297
payment_method_std;0.7415749622021077;0.5767848434426844;0.512637451457415;0.485759064068868
customer_region_0_std;0.3411751083917844;0.33442560546261146;0.29500116540021587;0.27257307225029226
customer_region_1_std;0.44446800350984844;0.4836244702495947;0.37142606377521176;0.3409720665525232
customer_region_2_std;0.4602314689713624;0.4499015615054709;0.4662274655182995;0.47015863913291245
customer_region_3_std;0.4538240217352749;0.41213019818966506;0.4935084370627975;0.49803225990584826
DOW_0_std;0.41879763919092117;0.673819257008916;0.9613233729388018;1.6618806116680342
DOW_1_std;0.4090732427736864;0.663585826258232;0.970433572507411;1.7473619063888393
DOW_2_std;0.4341157643456902;0.6804481416175634;0.971721445549706;1.7050975635466987
DOW_3_std;0.5155194013036289;0.6819797920507966;1.0168641994346352;1.7342423120166037
